LECROYHDO6104,5494,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,24-Mar-2017 14:52:14,0                 
Time,Ampl
-0.05000503,-0.2312
-0.04999503,-0.2312
-0.04998503,-0.2304
-0.04997503,-0.2308
-0.04996503,-0.2304
-0.04995503,-0.232
-0.04994503,-0.2276
-0.04993503,-0.2292
-0.04992503,-0.2276
-0.04991503,-0.2288
-0.04990503,-0.2288
-0.04989503,-0.226
-0.04988503,-0.2284
-0.04987503,-0.226
-0.04986503,-0.2264
-0.04985503,-0.2248
-0.04984503,-0.2252
-0.04983503,-0.2256
-0.04982503,-0.2272
-0.04981503,-0.2272
-0.04980503,-0.2244
-0.04979503,-0.224
-0.04978503,-0.2212
-0.04977503,-0.2216
-0.04976503,-0.224
-0.04975503,-0.2248
-0.04974503,-0.2236
-0.04973503,-0.2248
-0.04972503,-0.2224
-0.04971503,-0.2212
-0.04970503,-0.2188
-0.04969503,-0.2204
-0.04968503,-0.2204
-0.04967503,-0.2196
-0.04966503,-0.2208
-0.04965503,-0.2188
-0.04964503,-0.2168
-0.04963503,-0.2148
-0.04962503,-0.2164
-0.04961503,-0.2156
-0.04960503,-0.2184
-0.04959503,-0.2128
-0.04958503,-0.2112
-0.04957503,-0.2132
-0.04956503,-0.2136
-0.04955503,-0.2088
-0.04954503,-0.2104
-0.04953503,-0.2092
-0.04952503,-0.2096
-0.04951503,-0.2088
-0.04950503,-0.21
-0.04949503,-0.208
-0.04948503,-0.2072
-0.04947503,-0.2064
-0.04946503,-0.2076
-0.04945503,-0.2048
-0.04944503,-0.206
-0.04943503,-0.2072
-0.04942503,-0.208
-0.04941503,-0.2092
-0.04940503,-0.2072
-0.04939503,-0.204
-0.04938503,-0.2036
-0.04937503,-0.202
-0.04936503,-0.2036
-0.04935503,-0.2064
-0.04934503,-0.2068
-0.04933503,-0.2068
-0.04932503,-0.204
-0.04931503,-0.2012
-0.04930503,-0.1992
-0.04929503,-0.2
-0.04928503,-0.2036
-0.04927503,-0.2032
-0.04926503,-0.2048
-0.04925503,-0.202
-0.04924503,-0.1984
-0.04923503,-0.1956
-0.04922503,-0.1948
-0.04921503,-0.196
-0.04920503,-0.1992
-0.04919503,-0.198
-0.04918503,-0.1952
-0.04917503,-0.1948
-0.04916503,-0.1948
-0.04915503,-0.1904
-0.04914503,-0.1928
-0.04913503,-0.1932
-0.04912503,-0.1916
-0.04911503,-0.1932
-0.04910503,-0.1912
-0.04909503,-0.1948
-0.04908503,-0.194
-0.04907503,-0.19
-0.04906503,-0.1936
-0.04905503,-0.1948
-0.04904503,-0.19
-0.04903503,-0.1904
-0.04902503,-0.1912
-0.04901503,-0.1876
-0.04900503,-0.188
-0.04899503,-0.1876
-0.04898503,-0.1864
-0.04897503,-0.1892
-0.04896503,-0.1856
