LECROYHDO6104,5494,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,24-Mar-2017 14:50:50,0                 
Time,Ampl
-0.05001,9.63544
-0.05,9.63606
-0.04999,9.63681
-0.04998,9.63731
-0.04997,9.63781
-0.04996,9.63856
-0.04995,9.63893
-0.04994,9.63893
-0.04993,9.63968
-0.04992,9.64043
-0.04991,9.64081
-0.0499,9.64168
-0.04989,9.64168
-0.04988,9.64268
-0.04987,9.64306
-0.04986,9.64368
-0.04985,9.64418
-0.04984,9.64506
-0.04983,9.64531
-0.04982,9.64631
-0.04981,9.64668
-0.0498,9.64681
-0.04979,9.64743
-0.04978,9.64781
-0.04977,9.6488
-0.04976,9.64955
-0.04975,9.6498
-0.04974,9.65018
-0.04973,9.65093
-0.04972,9.6508
-0.04971,9.65168
-0.0497,9.6523
-0.04969,9.65293
-0.04968,9.65355
-0.04967,9.6538
-0.04966,9.6543
-0.04965,9.65455
-0.04964,9.65568
-0.04963,9.65668
-0.04962,9.65755
-0.04961,9.6578
-0.0496,9.6578
-0.04959,9.65843
-0.04958,9.6593
-0.04957,9.65967
-0.04956,9.66092
-0.04955,9.6618
-0.04954,9.66217
-0.04953,9.66217
-0.04952,9.66305
-0.04951,9.66367
-0.0495,9.66455
-0.04949,9.66555
-0.04948,9.6658
-0.04947,9.6663
-0.04946,9.66667
-0.04945,9.66755
-0.04944,9.6683
-0.04943,9.66904
-0.04942,9.67004
-0.04941,9.67067
-0.0494,9.67129
-0.04939,9.67167
-0.04938,9.67254
-0.04937,9.67329
-0.04936,9.67367
-0.04935,9.67517
-0.04934,9.67579
-0.04933,9.67604
-0.04932,9.67679
-0.04931,9.67704
-0.0493,9.67829
-0.04929,9.67954
-0.04928,9.68016
-0.04927,9.68041
-0.04926,9.68141
-0.04925,9.68204
-0.04924,9.68216
-0.04923,9.68354
-0.04922,9.68416
-0.04921,9.68554
-0.0492,9.68591
-0.04919,9.68641
-0.04918,9.68654
-0.04917,9.68729
-0.04916,9.68866
-0.04915,9.68941
-0.04914,9.69016
-0.04913,9.69053
-0.04912,9.69078
-0.04911,9.69191
-0.0491,9.69291
-0.04909,9.69341
-0.04908,9.69441
-0.04907,9.69591
-0.04906,9.69616
-0.04905,9.69653
-0.04904,9.69678
-0.04903,9.69778
-0.04902,9.69878
-0.04901,9.69966
-0.049,9.70003
-0.04899,9.70103
-0.04898,9.70203
-0.04897,9.70265
-0.04896,9.7029
-0.04895,9.70415
-0.04894,9.70453
-0.04893,9.70578
-0.04892,9.7064
-0.04891,9.70653
-0.0489,9.70753
-0.04889,9.70853
-0.04888,9.71003
-0.04887,9.71065
-0.04886,9.7114
-0.04885,9.71202
-0.04884,9.71252
-0.04883,9.71365
-0.04882,9.71502
-0.04881,9.7154
-0.0488,9.71665
-0.04879,9.7169
-0.04878,9.71802
-0.04877,9.71877
-0.04876,9.71915
-0.04875,9.7199
-0.04874,9.72064
-0.04873,9.72264
-0.04872,9.72339
-0.04871,9.72364
-0.0487,9.72452
-0.04869,9.72539
-0.04868,9.72639
-0.04867,9.72752
-0.04866,9.72802
-0.04865,9.72864
-0.04864,9.72989
-0.04863,9.73089
-0.04862,9.73139
-0.04861,9.73226
-0.0486,9.73314
-0.04859,9.73464
-0.04858,9.73489
-0.04857,9.73601
-0.04856,9.73639
-0.04855,9.73751
-0.04854,9.73901
-0.04853,9.74051
-0.04852,9.74101
-0.04851,9.74201
-0.0485,9.74313
-0.04849,9.74376
-0.04848,9.74451
-0.04847,9.74538
-0.04846,9.74726
-0.04845,9.74788
-0.04844,9.74901
-0.04843,9.74901
-0.04842,9.75051
-0.04841,9.75175
-0.0484,9.75325
-0.04839,9.7545
-0.04838,9.75488
-0.04837,9.75613
-0.04836,9.75663
-0.04835,9.75725
-0.04834,9.75838
-0.04833,9.75988
-0.04832,9.761
-0.04831,9.76162
-0.0483,9.763
-0.04829,9.76337
-0.04828,9.76462
-0.04827,9.76525
-0.04826,9.76687
-0.04825,9.76837
-0.04824,9.76887
-0.04823,9.77012
-0.04822,9.77062
-0.04821,9.7715
-0.0482,9.77324
-0.04819,9.77424
-0.04818,9.77549
-0.04817,9.77662
-0.04816,9.77774
-0.04815,9.77837
-0.04814,9.77912
-0.04813,9.78087
-0.04812,9.78187
-0.04811,9.78286
-0.0481,9.78386
-0.04809,9.78499
-0.04808,9.78574
-0.04807,9.78686
-0.04806,9.78849
-0.04805,9.78936
-0.04804,9.79086
-0.04803,9.79161
-0.04802,9.79261
-0.04801,9.79336
-0.048,9.79423
-0.04799,9.79648
-0.04798,9.79723
-0.04797,9.79873
-0.04796,9.79948
-0.04795,9.80073
-0.04794,9.80211
-0.04793,9.80298
-0.04792,9.80498
-0.04791,9.80623
-0.0479,9.80748
-0.04789,9.80835
-0.04788,9.80948
-0.04787,9.8106
-0.04786,9.81185
-0.04785,9.81397
-0.04784,9.81497
-0.04783,9.81635
-0.04782,9.81735
-0.04781,9.81797
-0.0478,9.81935
-0.04779,9.82097
-0.04778,9.8226
-0.04777,9.82372
-0.04776,9.82522
-0.04775,9.82634
-0.04774,9.82734
-0.04773,9.82884
-0.04772,9.83009
-0.04771,9.83197
-0.0477,9.83396
-0.04769,9.83484
-0.04768,9.83596
-0.04767,9.83721
-0.04766,9.83834
-0.04765,9.84009
-0.04764,9.84196
-0.04763,9.84334
-0.04762,9.84433
-0.04761,9.84608
-0.0476,9.84683
-0.04759,9.84871
-0.04758,9.85083
-0.04757,9.85258
-0.04756,9.85396
-0.04755,9.85558
-0.04754,9.8567
-0.04753,9.8577
-0.04752,9.85958
-0.04751,9.8622
-0.0475,9.86383
-0.04749,9.86507
-0.04748,9.86682
-0.04747,9.8677
-0.04746,9.86882
-0.04745,9.87057
-0.04744,9.87245
-0.04743,9.87445
-0.04742,9.87607
-0.04741,9.87707
-0.0474,9.87844
-0.04739,9.87919
-0.04738,9.88057
-0.04737,9.88294
-0.04736,9.88419
-0.04735,9.88556
-0.04734,9.88719
-0.04733,9.88894
-0.04732,9.88944
-0.04731,9.89144
-0.0473,9.89356
-0.04729,9.89543
-0.04728,9.89693
-0.04727,9.89856
-0.04726,9.89981
-0.04725,9.90031
-0.04724,9.90256
-0.04723,9.90431
-0.04722,9.9063
-0.04721,9.90743
-0.0472,9.90893
-0.04719,9.91018
-0.04718,9.91155
-0.04717,9.91305
-0.04716,9.91518
-0.04715,9.9173
-0.04714,9.91855
-0.04713,9.9198
-0.04712,9.92092
-0.04711,9.9218
-0.0471,9.92455
-0.04709,9.92642
-0.04708,9.92817
-0.04707,9.92979
-0.04706,9.93117
-0.04705,9.93204
-0.04704,9.93367
-0.04703,9.93592
-0.04702,9.93866
-0.04701,9.93991
-0.047,9.94154
-0.04699,9.94304
-0.04698,9.94429
-0.04697,9.94616
-0.04696,9.94791
-0.04695,9.95053
-0.04694,9.95241
-0.04693,9.95428
-0.04692,9.95566
-0.04691,9.95678
-0.0469,9.95828
-0.04689,9.96053
-0.04688,9.96328
-0.04687,9.96478
-0.04686,9.96703
-0.04685,9.96827
-0.04684,9.97027
-0.04683,9.9724
-0.04682,9.97465
-0.04681,9.97789
-0.0468,9.97927
-0.04679,9.98164
-0.04678,9.98302
-0.04677,9.98464
-0.04676,9.98689
-0.04675,9.98964
-0.04674,9.99176
-0.04673,9.99426
-0.04672,9.99601
-0.04671,9.99788
-0.0467,9.99951
-0.04669,10.0016
-0.04668,10.0045
-0.04667,10.0079
-0.04666,10.0098
-0.04665,10.0118
-0.04664,10.0138
-0.04663,10.0158
-0.04662,10.0176
-0.04661,10.0212
-0.0466,10.0241
-0.04659,10.0267
-0.04658,10.0291
-0.04657,10.0311
-0.04656,10.0336
-0.04655,10.0359
-0.04654,10.0402
-0.04653,10.044
-0.04652,10.047
-0.04651,10.0491
-0.0465,10.0515
-0.04649,10.0542
-0.04648,10.058
-0.04647,10.0625
-0.04646,10.0662
-0.04645,10.0701
-0.04644,10.0733
-0.04643,10.0777
-0.04642,10.081
-0.04641,10.0861
-0.0464,10.0916
-0.04639,10.0982
-0.04638,10.103
-0.04637,10.1085
-0.04636,10.1145
-0.04635,10.1217
-0.04634,10.1327
-0.04633,10.1441
-0.04632,10.1572
-0.04631,10.1717
-0.0463,10.1873
-0.04629,10.2083
-0.04628,10.2355
-0.04627,10.2669
-0.04626,10.3017
-0.04625,10.3392
-0.04624,10.3778
-0.04623,10.4169
-0.04622,10.4564
-0.04621,10.4936
-0.0462,10.5268
-0.04619,10.5572
-0.04618,10.5814
-0.04617,10.5977
-0.04616,10.6057
-0.04615,10.6071
-0.04614,10.6051
-0.04613,10.6021
-0.04612,10.6001
-0.04611,10.597
-0.0461,10.5913
-0.04609,10.5821
-0.04608,10.5711
-0.04607,10.5609
-0.04606,10.5517
-0.04605,10.5444
-0.04604,10.5379
-0.04603,10.5303
-0.04602,10.5199
-0.04601,10.5088
-0.046,10.4978
-0.04599,10.4895
-0.04598,10.4825
-0.04597,10.4765
-0.04596,10.4683
-0.04595,10.4584
-0.04594,10.4472
-0.04593,10.4374
-0.04592,10.4292
-0.04591,10.4229
-0.0459,10.4166
-0.04589,10.4082
-0.04588,10.3982
-0.04587,10.3866
-0.04586,10.377
-0.04585,10.3697
-0.04584,10.3636
-0.04583,10.3567
-0.04582,10.3485
-0.04581,10.338
-0.0458,10.3272
-0.04579,10.3182
-0.04578,10.3111
-0.04577,10.305
-0.04576,10.2979
-0.04575,10.289
-0.04574,10.2787
-0.04573,10.2675
-0.04572,10.2594
-0.04571,10.2523
-0.0457,10.2455
-0.04569,10.2383
-0.04568,10.229
-0.04567,10.2174
-0.04566,10.206
-0.04565,10.1973
-0.04564,10.1892
-0.04563,10.1825
-0.04562,10.1744
-0.04561,10.1643
-0.0456,10.1524
-0.04559,10.1413
-0.04558,10.1326
-0.04557,10.1258
-0.04556,10.1193
-0.04555,10.1115
-0.04554,10.1017
-0.04553,10.0903
-0.04552,10.0792
-0.04551,10.0716
-0.0455,10.0642
-0.04549,10.0579
-0.04548,10.0495
-0.04547,10.0384
-0.04546,10.0269
-0.04545,10.0171
-0.04544,10.0086
-0.04543,10.0023
-0.04542,9.99526
-0.04541,9.98689
-0.0454,9.97602
-0.04539,9.9644
-0.04538,9.95528
-0.04537,9.94841
-0.04536,9.94141
-0.04535,9.93417
-0.04534,9.9253
-0.04533,9.91455
-0.04532,9.90368
-0.04531,9.89431
-0.0453,9.88706
-0.04529,9.88057
-0.04528,9.8722
-0.04527,9.8632
-0.04526,9.85121
-0.04525,9.84009
-0.04524,9.83097
-0.04523,9.82347
-0.04522,9.8171
-0.04521,9.8096
-0.0452,9.79948
-0.04519,9.78774
-0.04518,9.77674
-0.04517,9.768
-0.04516,9.76088
-0.04515,9.75438
-0.04514,9.74588
-0.04513,9.73539
-0.04512,9.72377
-0.04511,9.71352
-0.0451,9.70515
-0.04509,9.69791
-0.04508,9.69128
-0.04507,9.68179
-0.04506,9.67117
-0.04505,9.65917
-0.04504,9.64918
-0.04503,9.64118
-0.04502,9.63469
-0.04501,9.62794
-0.045,9.61894
-0.04499,9.60832
-0.04498,9.59758
-0.04497,9.58758
-0.04496,9.57984
-0.04495,9.57284
-0.04494,9.5656
-0.04493,9.55697
-0.04492,9.54561
-0.04491,9.53424
-0.0449,9.52462
-0.04489,9.51737
-0.04488,9.5105
-0.04487,9.50325
-0.04486,9.49363
-0.04485,9.48251
-0.04484,9.47189
-0.04483,9.46377
-0.04482,9.4569
-0.04481,9.45053
-0.0448,9.44328
-0.04479,9.43353
-0.04478,9.42254
-0.04477,9.41242
-0.04476,9.40467
-0.04475,9.39818
-0.04474,9.3918
-0.04473,9.38393
-0.04472,9.37406
-0.04471,9.36332
-0.0447,9.3532
-0.04469,9.34583
-0.04468,9.33896
