Name	Sweep	
Date	24 / 3 / 2017	
Time	18:45:28	
Instrument	FSH8 - 106469/028	
Firmware Version	V1.58	
Instrument Mode	Spectrum	
Meas Mode	Spectrum	
Uplink	- - -	
Downlink	- - -	
Channel (uplink)	- - -	
Center Frequency	5000000	Hz
Frequency Offset	0	Hz
Span	10000000	Hz
Ref Level	-52.8	dBm
Ref Offset	0.0	dB
Ref Position	1	
Range	50	dB
RF Attenuation	Manual	
RF Attenuator	0	dB
RF Input	50 Ohm	
RBW	30000	Hz
VBW	300000	Hz
SWT	0.056	s
Trigger Mode	Free Run	
Trigger Level	- - -	
Trigger Delay	- - -	
Trace Mode	Average	
Trace Detector	Sample	
Limit Line 1	- - -	
Limit Line 2	- - -	
Primary Transducer	- - -	
Secondary Transducer	- - -	
Gated Trigger	Off	
Gate Mode	Edge	
Gate Delay	0	s
Gate Length	0.0004	s
Isotropic Antenna		
Operator	- - -	
Result Limit Line 1	- - -	
Result Limit Line 2	- - -	
Average Count	Sweep 999 of 999	
Marker 1	7396825.39682539	Hz
Marker 1 Value	-68.89	dBm

Freq. [Hz]	Magnitude [dBm]	 
0	-17.1108894348145	 
15873.0158730159	-17.1166038513184	 
31746.0317460317	-24.0201110839844	 
47619.0476190476	-36.8187408447266	 
63492.0634920635	-55.2323455810547	 
79365.0793650794	-62.6125411987305	 
95238.0952380952	-62.1706161499023	 
111111.111111111	-61.842529296875	 
126984.126984127	-61.3530960083008	 
142857.142857143	-61.3837890625	 
158730.158730159	-61.3968772888184	 
174603.174603175	-61.3207626342773	 
190476.19047619	-61.4291763305664	 
206349.206349206	-60.9286880493164	 
222222.222222222	-61.1550216674805	 
238095.238095238	-60.8783874511719	 
253968.253968254	-60.6566009521484	 
269841.26984127	-60.5531349182129	 
285714.285714286	-60.8700218200684	 
301587.301587302	-60.4976043701172	 
317460.317460317	-60.9241523742676	 
333333.333333333	-60.6170997619629	 
349206.349206349	-60.6406211853027	 
365079.365079365	-60.2808647155762	 
380952.380952381	-60.541145324707	 
396825.396825397	-60.7557182312012	 
412698.412698413	-60.5612640380859	 
428571.428571429	-60.3340835571289	 
444444.444444444	-60.396915435791	 
460317.46031746	-60.7185134887695	 
476190.476190476	-60.6397895812988	 
492063.492063492	-60.7167587280273	 
507936.507936508	-60.6082954406738	 
523809.523809524	-60.6644973754883	 
539682.53968254	-60.9352951049805	 
555555.555555556	-60.9504547119141	 
571428.571428571	-61.2337913513184	 
587301.587301587	-60.9858779907227	 
603174.603174603	-61.126838684082	 
619047.619047619	-60.9478034973145	 
634920.634920635	-60.8246917724609	 
650793.650793651	-61.3357124328613	 
666666.666666667	-61.3583450317383	 
682539.682539682	-61.0900344848633	 
698412.698412698	-61.4539527893066	 
714285.714285714	-61.4434204101563	 
730158.73015873	-61.5469703674316	 
746031.746031746	-61.5301475524902	 
761904.761904762	-61.4724349975586	 
777777.777777778	-61.6326713562012	 
793650.793650794	-61.3792572021484	 
809523.809523809	-61.6401062011719	 
825396.825396825	-61.7554740905762	 
